2,139,0,True,200,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,214,0,True,612,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,1377,0,True,223,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,957,2,True,0,none,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,1045,0,True,230,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,1152,1,True,160,19 : 9,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,1038,1,True,161,19 : 9,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,281,0,True,160,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,1915,0,True,191,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,1660,0,True,175,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,2090,0,True,175,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,968,0,True,184,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,811,0,True,176,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,1083,0,True,200,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,593,0,True,176,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,724,0,True,198,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,377,0,True,202,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,1803,0,True,150,19 : 10,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,1739,0,True,199,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,768,0,True,207,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,1778,0,True,191,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,2320,0,True,191,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,1102,0,True,208,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,963,0,True,191,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,566,0,True,183,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,1280,0,True,200,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,2217,0,True,184,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,2443,0,True,184,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
2,2122,0,True,208,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,200
2,643,0,True,191,19 : 15,2016-09-25,"Google Inc.|Netscape|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",944,1173,0,0
